Ticker,Test_Samples,MSE_3M,RMSE_3M,MAE_3M,R2_3M,DirAcc_3M,MSE_1Y,RMSE_1Y,MAE_1Y,R2_1Y,DirAcc_1Y,MSE_3Y,RMSE_3Y,MAE_3Y,R2_3Y,DirAcc_3Y
WIPRO,866,0.005351238789649948,0.07315216189320688,0.05947915035907642,0.8625155437314485,90.76212471131639,0.016431381177949997,0.12818494910850492,0.08964870187873882,0.9568943923120495,94.22632794457274,0.005878480221928808,0.0766712476873098,0.06100327609667197,0.951674270095495,96.07390300230946
ONGC,866,0.004620260768359447,0.06797250008907607,0.05121285201818064,0.8887906831539614,95.49653579676675,0.02531905472066061,0.15911962393325535,0.12205840238768852,0.8609245357989548,93.87990762124711,0.09091477160277091,0.3015207647953469,0.25131963800819584,0.808267655296503,100.0
NTPC,866,0.0026599719245077712,0.051574915651969526,0.040233574059883814,0.8011703848508194,92.37875288683603,0.005638633231980134,0.07509083320872219,0.05937725966409124,0.9289988619673468,99.65357967667437,0.11312589474336106,0.336341931289218,0.26114742746942315,0.8191916492211583,100.0
JSWSTEEL,866,0.008651387048295137,0.09301283270761694,0.0674111240937772,0.8730087025274729,90.76212471131639,0.03163202018193693,0.17785392934072872,0.10852064218172615,0.9569191618091494,93.53348729792148,0.05807808873262804,0.24099395995051004,0.17846006967178943,0.9364975997925835,100.0
POWERGRID,729,0.002284621645945203,0.04779771590719794,0.037370172834851195,0.6934561927165508,90.39780521262003,0.003300878503815657,0.057453272350803976,0.04509320714611902,0.8823600928592278,100.0,0.020914330016227937,0.14461787585298,0.11591984852841852,0.8872616034694446,100.0
M&M,866,0.006944731688518844,0.08333505677995812,0.062435688607428604,0.8584312808434923,82.67898383371825,0.03038239674052007,0.17430546962307314,0.13031008131543978,0.6682384301483316,95.72748267898383,0.08358364134134066,0.2891083557100013,0.25841547779343144,0.7248904026481391,100.0
ADANIENT,866,0.05931832464788227,0.24355353548631206,0.17387476185802908,0.6920688578732169,88.56812933025404,0.2892293382066043,0.5378004631892802,0.3979167571602127,0.9546221726786404,92.95612009237875,0.7929558352246201,0.8904806765026516,0.5650530363539665,0.98581782285848,92.37875288683603
ADANIPORTS,722,0.009416047654276446,0.09703632131463169,0.07019809329221341,0.8122134669074368,86.8421052631579,0.04653175969428727,0.21571221498628043,0.15041523283763325,0.8618986849446438,89.05817174515236,0.05828563717883842,0.24142418515724232,0.2006246388536411,0.500401981552316,100.0
COALINDIA,577,0.0046031030524789724,0.0678461719810261,0.05622760834342048,0.6839958860005815,81.45580589254766,0.011214847950457527,0.10590017918047885,0.08880158719095035,0.6928125789275337,100.0,0.14404329085729597,0.37953035564668075,0.35204989317178315,0.8278600228720371,100.0
TATASTEEL,866,0.011911820755887223,0.10914128804392599,0.08702123908602416,0.8477046702176168,92.60969976905312,0.05295718046418845,0.23012427178415676,0.16157303498854228,0.9469652193779454,92.49422632794457,0.06085317466352117,0.2466843624219443,0.18548666216071705,0.9332519360358098,100.0
HINDALCO,866,0.009987280713439791,0.0999363833317966,0.0787514173159565,0.8484727201032518,89.26096997690532,0.012663146646751822,0.11253064758878721,0.07559731750994955,0.9770731784453146,91.68591224018475,0.04155391710874142,0.20384777925879258,0.15149826273390932,0.9048907422257082,99.88452655889145
SBILIFE,237,0.0024509386957175232,0.049506956033647666,0.03970138904531015,0.7612215273981788,81.85654008438819,0.002990245101584578,0.054683133611604394,0.04589036181628044,0.23409607230255403,89.0295358649789,0.01699981139997597,0.1303833248539704,0.12082065937388295,-0.11200071991607663,100.0
BAJAJ-AUTO,866,0.0060646262463909875,0.07787571024646252,0.06086789108924385,0.6630269792344452,86.48960739030022,0.013858967695824245,0.11772411688275367,0.08697036324325932,0.7685429748832262,87.52886836027713,0.023685883434075686,0.15390218787943102,0.12033738741354359,0.9169481407984418,100.0
